time,price
20180603,647
20180602,632
20180530,615
20180529,622
20180528,624
20180527,639
20180526,645
20180523,631
20180522,632
20180521,632
20180520,644
20180519,656
20180516,645
20180515,664
20180514,666
20180513,640
20180512,615
20180509,604
20180508,634
20180507,610
20180506,601
20180505,637
20180501,654
20180430,671
20180429,662
20180428,666
20180425,692
20180424,692
20180423,651
20180422,664
20180421,666
20180418,677
20180417,661
20180416,656
20180415,680
20180411,681
20180410,708
20180409,689
20180408,713
20180407,724
20180404,735
20180403,749
20180328,739
20180327,734
20180326,745
20180325,757
20180319,759
20180318,731
20180317,745
20180314,737
20180313,721
20180312,729
20180311,724
20180310,734
20180307,748
20180306,734
20180305,750
20180304,758
20180303,767
20180228,795
20180227,792
20180226,759
20180225,762
20180224,766
20180221,774
20180219,782
20180218,786
20180217,799
20180214,816
20180213,801
20180212,809
20180210,793
20180207,825
20180206,826
20180205,844
20180204,870
20180203,836
20180131,840
20180130,846
20180129,877
20180128,906
20180127,834
20180124,815
20180123,852
20180122,828
20180121,855
20180120,826
20180117,779
20180116,768
20180115,800
20180114,822
20180113,805
20180110,770
20180109,800
20180108,783
20180107,733
20180106,708
20180103,676
20180102,690
20180101,693
20171231,671
20171230,717
20171227,733
20171226,704
20171225,708
20171224,725
20171223,721
20171220,729
20171219,749
20171218,749
20171217,716
20171216,704
20171215,684
20171214,684
20171213,684
20171212,686
20171211,689
20171210,699
20171209,691
20171205,692
20171204,699
20171203,703
20171202,727
20171129,711
20171128,682
20171126,688
20171125,696
20171122,689
20171121,697
20171120,695
20171118,704
20171115,703
20171114,722
20171113,718
20171112,702
20171111,708
20171108,704
20171107,709
20171106,729
20171105,718
20171104,731
20171101,750
20171031,770
20171030,733
20171029,722
20171028,705
20171025,685
20171024,695
20171023,681
20171022,701
20171021,717
20171018,697
20171017,667
20171016,670
20171015,684
20171014,687
20171011,651
20171010,665
20171009,670
20171008,660
20171007,719
20171004,741
20171003,721
20171002,739
20170927,752
20170926,763
20170925,759
20170924,742
20170923,738
20170920,751
20170919,771
20170918,765
20170917,766
20170916,774
20170913,777
20170912,797
20170911,800
20170910,767
20170906,810
20170905,823
20170904,832
20170903,799
20170902,750
20170830,724
20170829,734
20170828,736
20170827,710
20170826,693
20170823,641
20170822,658
20170821,655
20170820,673
20170819,677
20170816,652
20170815,657
20170814,666
20170813,676
20170812,685
20170809,681
20170808,698
20170807,707
20170806,695
20170802,690
20170801,706
20170731,716
20170730,692
20170729,660
20170726,682
20170725,717
20170724,692
20170723,641
20170722,607
20170719,624
20170718,615
20170717,573
20170716,573
20170715,573
20170712,573
20170711,573
20170710,585
20170709,580
20170708,592
20170705,605
20170704,641
20170703,634
20170702,580
20170701,594
20170628,604
20170625,600
20170624,605
20170621,624
20170620,635
20170619,642
20170618,643
20170617,664
20170614,644
20170613,634
20170612,629
20170611,641
20170610,646
20170607,659
20170606,658
20170603,673
20170531,681
20170530,702
20170529,676
20170528,716
20170527,725
20170524,667
20170523,626
20170522,640
20170521,644
20170520,680
20170517,643
20170516,607
20170515,611
20170514,630
20170513,655
20170510,639
20170509,635
20170508,695
20170507,677
20170506,706
20170503,753
20170502,770
20170501,746
20170430,772
20170429,768
20170426,707
20170424,770
20170423,840
20170422,917
20170419,902
20170418,830
20170417,899
20170416,979
20170415,931
20170412,847
20170410,787
20170409,716
20170408,656
20170405,631
20170404,632
20170403,581
20170329,547
20170328,563
20170327,512
20170326,466
20170325,424
20170318,386
20170315,352
20170314,320
20170313,291
20170312,265
20170311,265
20170308,265
20170307,265
20170306,268
20170305,273
20170304,281
20170301,293
20170228,298
20170227,299
20170226,301
20170225,300
20170222,306
20170221,301
20170220,299
20170219,304
20170218,311
20170215,313
20170214,303
20170213,307
20170212,321
20170211,325
20170208,330
20170207,331
20170206,331
20170205,332
20170204,337
20170201,340
20170131,343
20170130,340
20170129,340
20170128,351
20170125,342
20170124,347
20170123,345
20170122,357
20170121,357
20170118,355
20170117,336
20170116,342
20170115,348
20170114,358
20170111,356
20170109,359
20170108,341
20170107,358
20170104,345
20170103,358
20170102,361
20170101,370
20161231,373
20161228,378
20161227,372
20161226,379
20161225,382
20161224,384
20161221,379
20161220,375
20161219,376
20161218,380
20161214,371
20161213,388
20161212,381
20161211,389
20161210,388
20161207,383
20161206,381
20161205,387
20161204,390
20161203,388
20161129,400
20161127,400
20161126,394
20161123,393
20161122,399
20161121,420
20161119,416
20161116,416
20161115,416
20161114,416
20161113,416
20161112,416
20161109,416
20161108,416
20161107,416
20161106,416
20161105,416
20161102,416
20161101,416
20161031,416
20161030,416
20161029,416
20161028,416
20161027,416
20161026,416
20161025,416
20161024,400
20161023,411
20161022,425
20161019,413
20161018,402
20161017,391
20161016,386
20161015,386
20161012,393
20161010,393
20161009,392
20161008,397
20161005,399
20161004,393
20161003,397
20161002,398
20161001,405
20160928,401
20160927,397
20160926,402
20160925,398
20160924,404
20160921,395
20160919,403
20160918,395
20160917,397
20160914,400
20160913,402
20160911,390
20160910,392
20160907,393
20160906,399
20160905,402
20160904,399
20160903,401
20160831,404
20160830,401
20160829,403
20160828,403
20160827,405
20160824,411
20160823,410
20160822,407
20160821,414
20160820,417
20160817,420
20160816,418
20160815,421
20160814,419
20160813,420
20160810,421
20160809,419
20160808,428
20160807,435
20160806,440
20160803,440
20160802,434
20160801,437
20160731,451
20160727,446
20160726,447
20160725,452
20160724,465
20160723,465
20160720,487
20160719,489
20160718,481
20160717,442
20160716,473
20160713,473
20160712,473
20160711,473
20160710,473
20160709,488
20160705,497
20160704,508
20160703,470
20160702,457
20160629,442
20160628,432
20160626,409
20160625,413
20160622,409
20160621,401
20160620,408
20160619,411
20160618,411
20160615,409
20160614,399
20160613,411
20160612,415
20160611,433
20160608,435
20160607,437
20160606,451
20160605,460
20160601,457
20160531,453
20160530,467
20160529,464
20160528,468
20160525,473
20160524,468
20160523,473
20160521,473
20160518,479
20160517,476
20160516,480
20160515,483
